"","Name","Diameter","Radius","Eccentricity","Nodes","Betweenness","Hopcount","Closeness","Farness","Links","Cluster"
"35","KentmanFeb2008","6","3","4.72",25,"0.089855072463768","3.06666666666667","0.25075806441233","4.06666666666667","25","4"
"36","LambdaNet","15","9","11.34375",32,"0.16653225806452","5.99596774193548","0.14477312574273","6.99596774193548","33","1"
"37","Litnet","4","3","3.8717948717949",39,"0.052777473830105","2.9527665317139","0.25517419124484","3.9527665317139","39","3"
"38","NetworkUsa","10","8","9.2285714285714",35,"0.12569391392921","5.14789915966387","0.16528248522475","6.14789915966387","39","2"
"39","Niif","7","4","5.2857142857143",35,"0.065648077412783","3.16638655462185","0.24526515954783","4.16638655462185","40","3"
"40","PionierL3","10","5","7.5925925925926",27,"0.12740740740741","4.18518518518519","0.19731149113745","5.18518518518519","32","2"
"41","Renater2006","7","4","5.3461538461538",26,"0.089230769230769","3.14153846153846","0.24568444297421","4.14153846153846","34","4"
"42","Renater2008","7","4","5.3461538461538",26,"0.089230769230769","3.14153846153846","0.24568444297421","4.14153846153846","34","4"
"43","Renater2010","9","5","7.3783783783784",37,"0.085070785070785","3.97747747747748","0.20501145672881","4.97747747747748","48","3"
"44","Roedunet","4","2","3.575",40,"0.048110661268556","2.82820512820513","0.26482658165839","3.82820512820513","44","2"
"45","Rnp","11","6","8.3571428571429",28,"0.13715913715914","4.56613756613757","0.18561348824875","5.56613756613757","31","3"
"46","Sanet","13","7","10",33,"0.13984604105572","5.33522727272727","0.16101987754617","6.33522727272727","35","2"
"47","Sunet","12","6","8.76",25,"0.15057971014493","4.46333333333333","0.18733741845453","5.46333333333333","29","2"
"48","SwitchL3","5","3","4.3",30,"0.060673234811166","2.69885057471264","0.27404637206969","3.69885057471264","53","4"
"49","USA","9","6","7.7647058823529",34,"0.10455659536542","4.3458110516934","0.18925976837109","5.3458110516934","42","2"
"50","Xspedius","7","4","5.4117647058824",34,"0.072136809269162","3.30837789661319","0.23501920928507","4.30837789661319","49","3"
